dur,imx0,imx1,imy0,imy1,squareID,time,timeID,proc_group
2.048,0.040000000000000036,0.08000000000000007,-0.76,-0.72,2556,646018382.6667,-5122048,53
2.048,0.08000000000000007,0.1200000000000001,-0.76,-0.72,2606,646018382.6667,-5122048,70
2.048,0.08000000000000007,0.1200000000000001,-0.72,-0.6799999999999999,2607,646018382.6667,-5122048,71
2.048,0.08000000000000007,0.1200000000000001,-0.6799999999999999,-0.64,2608,646018382.6667,-5122048,72
2.048,0.08000000000000007,0.1200000000000001,-0.64,-0.6,2609,646018382.6667,-5122048,73
2.048,0.08000000000000007,0.1200000000000001,-0.6,-0.56,2610,646018382.6667,-5122048,74
2.048,0.08000000000000007,0.1200000000000001,-0.56,-0.52,2611,646018382.6667,-5122048,75
2.048,0.08000000000000007,0.1200000000000001,-0.52,-0.48,2612,646018382.6667,-5122048,76
2.048,0.08000000000000007,0.1200000000000001,-0.48,-0.43999999999999995,2613,646018382.6667,-5122048,77
2.048,0.08000000000000007,0.1200000000000001,-0.43999999999999995,-0.4,2614,646018382.6667,-5122048,78
2.048,0.1200000000000001,0.16000000000000014,-0.76,-0.72,2656,646018382.6667,-5122048,84
2.048,0.1200000000000001,0.16000000000000014,-0.72,-0.6799999999999999,2657,646018382.6667,-5122048,85
2.048,0.1200000000000001,0.16000000000000014,-0.6799999999999999,-0.64,2658,646018382.6667,-5122048,86
2.048,0.1200000000000001,0.16000000000000014,-0.64,-0.6,2659,646018382.6667,-5122048,87
2.048,0.1200000000000001,0.16000000000000014,-0.6,-0.56,2660,646018382.6667,-5122048,88
2.048,0.1200000000000001,0.16000000000000014,-0.56,-0.52,2661,646018382.6667,-5122048,89
2.048,0.1200000000000001,0.16000000000000014,-0.52,-0.48,2662,646018382.6667,-5122048,90
2.048,0.1200000000000001,0.16000000000000014,-0.48,-0.43999999999999995,2663,646018382.6667,-5122048,91
2.048,0.1200000000000001,0.16000000000000014,-0.43999999999999995,-0.4,2664,646018382.6667,-5122048,92
2.048,0.040000000000000036,0.08000000000000007,-0.4,-0.36,2565,646018382.6667,-5122048,62
2.048,0.08000000000000007,0.1200000000000001,-0.4,-0.36,2615,646018382.6667,-5122048,79
2.048,0.1200000000000001,0.16000000000000014,-0.4,-0.36,2665,646018382.6667,-5122048,93
2.048,0.16000000000000014,0.20000000000000018,-0.76,-0.72,2706,646018382.6667,-5122048,1
2.048,0.16000000000000014,0.20000000000000018,-0.72,-0.6799999999999999,2707,646018382.6667,-5122048,2
2.048,0.16000000000000014,0.20000000000000018,-0.6799999999999999,-0.64,2708,646018382.6667,-5122048,3
2.048,0.16000000000000014,0.20000000000000018,-0.64,-0.6,2709,646018382.6667,-5122048,4
2.048,0.16000000000000014,0.20000000000000018,-0.6,-0.56,2710,646018382.6667,-5122048,5
2.048,0.16000000000000014,0.20000000000000018,-0.56,-0.52,2711,646018382.6667,-5122048,6
2.048,0.16000000000000014,0.20000000000000018,-0.52,-0.48,2712,646018382.6667,-5122048,7
2.048,0.16000000000000014,0.20000000000000018,-0.48,-0.43999999999999995,2713,646018382.6667,-5122048,8
2.048,0.16000000000000014,0.20000000000000018,-0.43999999999999995,-0.4,2714,646018382.6667,-5122048,9
2.048,0.16000000000000014,0.20000000000000018,-0.4,-0.36,2715,646018382.6667,-5122048,10
2.048,0.20000000000000018,0.2400000000000002,-0.76,-0.72,2756,646018382.6667,-5122048,16
2.048,0.20000000000000018,0.2400000000000002,-0.72,-0.6799999999999999,2757,646018382.6667,-5122048,17
2.048,0.20000000000000018,0.2400000000000002,-0.6799999999999999,-0.64,2758,646018382.6667,-5122048,18
2.048,0.20000000000000018,0.2400000000000002,-0.64,-0.6,2759,646018382.6667,-5122048,19
2.048,0.20000000000000018,0.2400000000000002,-0.6,-0.56,2760,646018382.6667,-5122048,20
2.048,0.20000000000000018,0.2400000000000002,-0.56,-0.52,2761,646018382.6667,-5122048,21
2.048,0.20000000000000018,0.2400000000000002,-0.52,-0.48,2762,646018382.6667,-5122048,22
2.048,0.20000000000000018,0.2400000000000002,-0.48,-0.43999999999999995,2763,646018382.6667,-5122048,23
2.048,0.20000000000000018,0.2400000000000002,-0.43999999999999995,-0.4,2764,646018382.6667,-5122048,24
2.048,0.20000000000000018,0.2400000000000002,-0.4,-0.36,2765,646018382.6667,-5122048,25
2.048,0.16000000000000014,0.20000000000000018,-0.8,-0.76,2705,646018382.6667,-5122048,0
2.048,0.20000000000000018,0.2400000000000002,-0.8,-0.76,2755,646018382.6667,-5122048,15
2.048,0.2400000000000002,0.28000000000000025,-0.8,-0.76,2805,646018382.6667,-5122048,31
2.048,0.2400000000000002,0.28000000000000025,-0.76,-0.72,2806,646018382.6667,-5122048,32
2.048,0.2400000000000002,0.28000000000000025,-0.72,-0.6799999999999999,2807,646018382.6667,-5122048,33
2.048,0.2400000000000002,0.28000000000000025,-0.6799999999999999,-0.64,2808,646018382.6667,-5122048,34
2.048,0.2400000000000002,0.28000000000000025,-0.64,-0.6,2809,646018382.6667,-5122048,35
